Title,ReleaseDate,ProductionCompany
Carmen Jones,1954-10-28,20th Century Fox
Magnificent Obsession,1954-08-02,Universal Pictures
The Barefoot Contessa,1954-09-29,United Artists
Executive Suite,1954-05-06,Metro-Goldwyn-Mayer
Broken Lance,1954-07-29,20th Century Fox
Genevieve,1953-05-28,The J. Arthur Rank Organisation
The Glenn Miller Story,1954-02-10,Universal-International
Knock on Wood,1954-04-14,Paramount Pictures
"Bread, Love and Dreams",1953-12-22,Titanus
"Bread, Love and Dreams",1953-12-22,I.F.E. Releasing Corporation
Forbidden Games,1952-05-09,Metro-Goldwyn-Mayer
Forbidden Games,1952-05-09,Les Films Corona
Forbidden Games,1952-05-09,Loew's Inc.
Night People,1954-03-12,20th Century Fox
Irving Berlin's There's No Business Like Show Business,1954-12-16,20th Century Fox
The Vanishing Prairie,1954-08-17,Walt Disney Productions
The Vanishing Prairie,1954-08-17,Buena Vista Distribution
The Stratford Adventure,1954-08-02,National Film Board of Canada
Thursday's Children,1954-05-01,World Wide Pictures
Thursday's Children,1954-05-01,Republic Pictures
Jet Carrier,1954-08-01,Twentieth Century-Fox Film Corporation
Rembrandt: A Self-Portrait,1954-01-01,Distributors Corporation of America
This Mechanical Age,1954-08-28,Warner Bros.
A Time Out of War,1954-01-01,Universal-International
When Magoo Flew,1955-01-06,UPA
When Magoo Flew,1955-01-06,Columbia Pictures
Crazy Mixed Up Pup,1955-02-14,Walter Lantz Productions
Crazy Mixed Up Pup,1955-02-14,Universal Pictures
Pigs Is Pigs,1954-05-21,Walt Disney Productions
Pigs Is Pigs,1954-05-21,RKO Radio Pictures
Sandy Claws,1955-04-02,Warner Bros. Cartoons
Sandy Claws,1955-04-02,Warner Bros. Pictures
Sandy Claws,1955-04-02,The Vitaphone Corporation
The Silver Chalice,1954-12-20,Warner Bros.
White Christmas,1954-10-14,Paramount Pictures
Susan Slept Here,1954-07-14,RKO Radio Pictures
Brigadoon,1954-09-08,Metro-Goldwyn-Mayer
Brigadoon,1954-09-08,"Loew's, Inc."
Le Plaisir,1952-02-14,Columbia Films S.A.
"20,000 Leagues Under the Sea",1954-12-23,Walt Disney Productions
"20,000 Leagues Under the Sea",1954-12-23,Buena Vista Distribution
D?sir?e,1954-11-16,20th Century Fox
Red Garters,1954-02-09,Paramount Pictures
Rogue Cop,1954-09-17,Metro-Goldwyn-Mayer
The Egyptian,1954-08-24,20th Century-Fox
The Earrings of Madame de...,1953-09-16,Rizzoli Film
The Earrings of Madame de...,1953-09-16,Gaumont Distribution
Terminal Station,1953-04-02,Selznick Releasing Organization
Terminal Station,1953-04-02,Columbia Pictures
Terminal Station,1953-04-02,Lux Film
It Should Happen to You,1954-01-15,Columbia Pictures
Jigokumon,1953-10-31,Daiei Film
Hell and High Water,1954-02-06,20th Century Fox
Them!,1954-06-16,Warner Bros.
Marty,1955-04-11,Hecht-Lancaster Productions
Marty,1955-04-11,United Artists
Love Is a Many-Splendored Thing,1955-08-18,Twentieth Century-Fox Film Corporation
Mister Roberts,1955-07-30,Warner Bros.
Picnic,1955-12-07,Columbia Pictures
The Rose Tattoo,1955-12-12,Paramount Pictures
Bad Day at Black Rock,1955-01-07,Metro-Goldwyn-Mayer
East of Eden,1955-03-09,Warner Bros. Pictures
Summertime,1955-05-29,London Films
Summertime,1955-05-29,United Artists
Love Me or Leave Me,1955-05-26,Metro-Goldwyn-Mayer
Love Me or Leave Me,1955-05-26,Loew's Inc.
The Man with the Golden Arm,1955-12-15,United Artists
I'll Cry Tomorrow,1955-12-25,Metro-Goldwyn-Mayer
Interrupted Melody,1955-03-25,Metro-Goldwyn-Mayer
Trial,1955-10-07,Metro-Goldwyn-Mayer
Rebel Without a Cause,1955-10-27,Warner Bros. Pictures
Pete Kelly's Blues,1955-07-31,Mark VII Limited
Pete Kelly's Blues,1955-07-31,Warner Bros. Pictures
Blackboard Jungle,1955-03-20,Metro-Goldwyn-Mayer
Blackboard Jungle,1955-03-20,Loew's Inc.
The Court-Martial of Billy Mitchell,1955-12-31,United States Pictures
The Court-Martial of Billy Mitchell,1955-12-31,Warner Bros
It's Always Fair Weather,1955-09-02,Metro-Goldwyn-Mayer
Les Vacances de Monsieur Hulot,1953-02-25,DisCina
The Seven Little Foys,1955-06-01,Paramount Pictures
The Private War of Major Benson,1955-08-02,Universal-International
The Five-Legged SheepLe Mouton ? cinq pattes,1954-09-24,Cocinor
Strategic Air Command,1955-03-25,Paramount Pictures
Men Against the Arctic,1955-12-21,Walt Disney Productions
Men Against the Arctic,1955-12-21,Buena Vista Distribution Co. Inc.
The Battle of Gettysburg,1955-01-01,MGM
The Face of Lincoln,1955-01-01,University of Southern California
The Face of Lincoln,1955-01-01,Universal Pictures
Survival City,1955-09-01,20th Century Fox
24 Hour Alert,1955-12-22,United States Air Force
24 Hour Alert,1955-12-22,Mark VII Ltd.
24 Hour Alert,1955-12-22,Warner Bros.
Speedy Gonzales,1955-09-17,Warner Bros. Pictures
The Legend of Rockabye Point,1955-04-11,Walter Lantz Productions
The Legend of Rockabye Point,1955-04-11,Universal Pictures
No Hunting,1955-01-14,Walt Disney Productions
No Hunting,1955-01-14,RKO Radio Pictures
Battle Cry,1955-03-12,Warner Bros.
Oklahoma!,1955-10-11,RKO Radio Pictures
Daddy Long Legs,1955-05-04,20th Century Fox
Guys and Dolls,1955-11-03,Samuel Goldwyn Productions
Guys and Dolls,1955-11-03,Metro-Goldwyn-Mayer
The Tender Trap,1955-11-04,Metro-Goldwyn-Mayer
Unchained,1955-01-19,Warner Bros. Pictures
Not as a Stranger,1955-06-28,Stanley Kramer Productions
Not as a Stranger,1955-06-28,United Artists
To Catch a Thief,1955-08-03,Paramount Pictures
Queen Bee,1955-11-07,Columbia Pictures
A Man Called Peter,1955-03-31,20th Century Fox
The Pickwick Papers,1952-11-14,Renown Pictures
Ugetsu,1953-03-26,Daiei Film
The Virgin Queen,1955-07-22,20th Century Fox
The Bridges at Toko-Ri,1954-12-31,Paramount Pictures Corp.
The Bridges at Toko-Ri,1954-12-31,Paramount Pictures
The Dam Busters,1955-05-16,Associated British Picture Corporation
The Rains of Ranchipur,1955-12-14,20th Century Fox
Around the World in 80 Days,1956-10-17,United Artists
Friendly Persuasion,1956-11-25,Allied Artists Pictures Corporation
Friendly Persuasion,1956-11-25,Metro-Goldwyn-Mayer
Giant,1956-10-10,Warner Bros. Pictures
The King and I,1956-06-28,20th Century-Fox
The Ten Commandments,1956-10-05,Paramount Pictures
War and Peace,1956-08-21,Paramount Pictures
War and Peace,1956-08-21,Dino de Laurentiis Cinematografica
Lust for Life,1956-09-17,Metro-Goldwyn-Mayer
Richard III,1955-12-13,London Films
Anastasia,1956-12-13,20th Century Fox
Baby Doll,1956-12-18,Warner Bros.
The Rainmaker,1956-12-13,Hal Wallis Productions
The Rainmaker,1956-12-13,Paramount Pictures
The Bad Seed,1956-09-12,Warner Bros.
Bus Stop,1956-08-31,20th Century Fox
The Bold and the Brave,1956-04-18,The Filmakers
The Bold and the Brave,1956-04-18,RKO Radio Pictures
Written on the Wind,1956-10-05,Universal-International
Julie,1956-10-17,Arwin Productions
Julie,1956-10-17,Metro-Goldwyn-Mayer
The Ladykillers,1955-12-08,Ealing Studios
The Ladykillers,1955-12-08,The Rank Organisation
La Strada,1954-09-06,Paramount Pictures
The Brave One,1956-10-26,King Brothers Productions
The Brave One,1956-10-26,RKO Radio Pictures
The Eddy Duchin Story,1956-06-21,Columbia Pictures
The Proud and the BeautifulLes Orgueilleux,1953-11-25,Columbia Pictures
Umberto D.,1952-01-20,Dear Film
High Society,1955-04-17,Allied Artists Pictures
The Captain from K?penickDer Hauptmann von K?penick,1956-08-16,Real Film
The Captain from K?penickDer Hauptmann von K?penick,1956-08-16,Distributors Corporation of America
Gervaise,1956-09-05,Les Films Corona
The Burmese Harp,1956-01-29,Nikkatsu
Qivitoq - Fjeldg?ngeren,1956-01-01,Nordisk Film Kompagni
The Silent World,1956-05-26,Titanus
The Silent World,1956-05-26,Rank
A City Decides,1956-01-01,Fund for the Republic
A City Decides,1956-01-01,Universal Pictures
The Dark Wave,1956-06-01,Twentieth Century-Fox Film Corporation
The House Without a Name,1956-01-01,Universal Pictures
Crashing the Water Barrier,1956-04-15,Warner Bros.
I Never Forget a Face,1956-04-28,Warner Bros.
Time Stood Still,1956-04-21,Warner Bros.
The Bespoke Overcoat,1956-10-07,Romulus Films
The Bespoke Overcoat,1956-10-07,British Lion Films
Magoo's Puddle Jumper,1956-07-26,UPA
Magoo's Puddle Jumper,1956-07-26,Columbia Pictures
Between Heaven and Hell,1956-10-11,20th Century Fox
The Best Things in Life Are Free,1956-09-28,20th Century Fox
High Society,1956-07-17,Bing Crosby Productions
High Society,1956-07-17,Metro-Goldwyn-Mayer
Meet Me in Las Vegas,1956-03-09,Metro-Goldwyn-Mayer
The Man Who Knew Too Much,1956-04-29,Paramount Pictures
Somebody Up There Likes Me,1956-07-03,Metro-Goldwyn-Mayer
The Proud and Profane,1956-06-13,Paramount Pictures
Seven Samurai,1954-04-26,Toho
The Solid Gold Cadillac,1956-08-22,Columbia Pictures
Teenage Rebel,1956-11-01,20th Century Fox
The Harder They Fall,1956-03-31,Columbia Pictures
Stagecoach to Fury,1956-12-13,Regal Films
Stagecoach to Fury,1956-12-13,20th Century-Fox
The Power and the Prize,1956-09-26,Metro-Goldwyn-Mayer
The Power and the Prize,1956-09-26,Loew's Inc.
Forbidden Planet,1956-03-03,Metro-Goldwyn-Mayer
The Bridge on the River Kwai,1957-10-02,Horizon Pictures
The Bridge on the River Kwai,1957-10-02,Columbia Pictures
12 Angry Men,1957-04-10,United Artists
Peyton Place,1957-12-11,20th Century Fox
Sayonara,1957-12-05,William Goetz Productions
Sayonara,1957-12-05,Warner Bros. Pictures
Witness for the Prosecution,1957-12-17,United Artists
A Hatful of Rain,1957-07-17,20th Century Fox
Wild is the Wind,1957-12-11,Paramount Pictures
The Three Faces of Eve,1957-09-18,20th Century Fox
"Heaven Knows, Mr. Allison",1957-03-13,20th Century-Fox
Raintree County,1957-10-02,Metro-Goldwyn-Mayer
A Farewell to Arms,1957-12-14,The Selznick Company
A Farewell to Arms,1957-12-14,20th Century Fox
The Bachelor Party,1957-04-09,Hecht-Hill-Lancaster Productions
The Bachelor Party,1957-04-09,Norma Productions
The Bachelor Party,1957-04-09,United Artists
Designing Woman,1957-05-16,Metro-Goldwyn-Mayer
Funny Face,1957-02-13,Paramount Pictures
I Vitelloni,1953-08-26,ENIC
I Vitelloni,1953-08-26,RKO Pictures
Man of a Thousand Faces,1957-08-13,Universal-International
The Tin Star,1957-10-23,Paramount Pictures
Nights of Cabiria,1957-05-10,Paramount Pictures
Mother India,1957-10-25,Mehboob Productions
The Devil Strikes at Night,1957-09-19,Gloria Film
Porte des LilasGates of Paris,1957-09-20,Cin?dis
Porte des LilasGates of Paris,1957-09-20,Lopert Pictures Corporation
Albert Schweitzer,1957-11-22,Louis de Rochemont Associates
The Wetback Hound,1957-06-19,"Buena Vista Film Distribution Co., Inc."
A Chairy Tale,1957-01-01,National Film Board of Canada
City of Gold,1957-01-01,National Film Board of Canada
Birds Anonymous,1957-08-10,Warner Bros. Cartoons
Birds Anonymous,1957-08-10,Warner Bros. Pictures
Birds Anonymous,1957-08-10,The Vitaphone Corporation
One Droopy Knight,1957-12-06,Metro-Goldwyn-Mayer Cartoons
One Droopy Knight,1957-12-06,Metro-Goldwyn-Mayer
Tabasco Road,1957-07-20,Warner Bros. Pictures
An Affair to Remember,1957-07-19,20th Century Fox
Boy on a Dolphin,1957-04-19,20th Century-Fox
Perri,1957-08-28,Walt Disney Productions
Perri,1957-08-28,"Buena Vista Film Distribution Co., Inc."
The Joker Is Wild,1957-09-26,Paramount Pictures
April Love,1957-11-27,20th Century-Fox
Tammy and The Bachelor,1957-06-14,Universal-International
Gunfight at the O.K. Corral,1957-05-29,Paramount Pictures
Les Girls,1957-10-03,Metro-Goldwyn-Mayer
Pal Joey,1957-10-25,Columbia Pictures
The Enemy Below,1957-12-25,20th Century Fox
The Spirit of St. Louis,1957-02-21,Warner Bros.
Gigi,1958-05-15,Metro-Goldwyn-Mayer
Auntie Mame,1958-12-04,Warner Bros.
Cat on a Hot Tin Roof,1958-08-27,Avon Productions
Cat on a Hot Tin Roof,1958-08-27,Metro-Goldwyn-Mayer
The Defiant Ones,1958-06-29,Stanley Kramer Productions
The Defiant Ones,1958-06-29,Lomitas Productions
The Defiant Ones,1958-06-29,Curtleigh Productions
The Defiant Ones,1958-06-29,United Artists
Separate Tables,1958-12-18,Hecht-Hill-Lancaster Productions
Separate Tables,1958-12-18,United Artists
I Want to Live!,1958-10-29,United Artists
The Inn of the Sixth Happiness,1958-11-23,20th Century Fox
The Old Man and the Sea,1958-10-07,Warner Bros.
Some Came Running,1958-12-18,Metro-Goldwyn-Mayer
The Big Country,1958-08-13,United Artists
The Brothers Karamazov,1958-02-20,Metro-Goldwyn-Mayer
Teacher's Pet,1958-03-19,Paramount Pictures
Lonelyhearts,1958-12-26,United Artists
The Goddess,1958-04-17,Columbia Pictures
Houseboat,1958-11-19,Paramount Pictures
The Sheepman,1958-05-07,Metro-Goldwyn-Mayer
The Horse's Mouth,1958-11-11,General Film Distributors
Mon Oncle,1958-05-10,Gaumont
Mon Oncle,1958-05-10,Titanus
Arms and the Man,1958-11-20,Bavaria Film
Big Deal on Madonna Street(I soliti ignoti),1958-06-30,Lux Film
White Wilderness,1958-08-12,Walt Disney Productions
White Wilderness,1958-08-12,Buena Vista Distribution
Antarctic Crossing,1958-01-01,World Wide Pictures
Antarctic Crossing,1958-01-01,Rank Film Distributors
Psychiatric Nursing,1958-01-01,"Smith, Kline & French"
Ama Girls,1958-07-09,Buena Vista
Employees Only,1958-01-01,Hughes Aircraft Company
Employees Only,1958-01-01,President's Committee on Employment of the Physically Handicapped
Employees Only,1958-01-01,Warner Bros.
Journey into Spring,1958-01-01,British Transport Films
Journey into Spring,1958-01-01,New Realm Pictures
The Living Stone,1958-01-01,National Film Board of Canada
Overture,1958-01-01,National Film Board of Canada
Grand Canyon,1958-12-17,Walt Disney Productions
Grand Canyon,1958-12-17,Buena Vista Distribution
The Kiss,1958-01-01,Continental Distributing
Snows of Aorangi,1955-01-01,National Film Unit
Knighty Knight Bugs,1958-08-23,Warner Bros. Cartoons
Knighty Knight Bugs,1958-08-23,Warner Bros.
Paul Bunyan,1958-08-01,Walt Disney Productions
Paul Bunyan,1958-08-01,Buena Vista Distribution
The Young Lions,1958-04-02,20th Century-Fox
The Bolshoi Ballet,1957-10-01,Paul Czinner Production
The Bolshoi Ballet,1957-10-01,Harmony Films
The Bolshoi Ballet,1957-10-01,J.R. Maxwell Productions
Damn Yankees,1958-09-19,Warner Bros.
Mardi Gras,1958-11-18,20th Century Fox
South Pacific,1958-03-19,20th Century-Fox
A Certain Smile,1958-07-31,Twentieth Century-Fox
Marjorie Morningstar,1958-04-24,Warner Bros.
A Time to Love and a Time to Die,1958-07-05,Universal Pictures
Vertigo,1958-05-09,Paramount Pictures
"Bell, Book and Candle",1958-11-11,Columbia Pictures
The Buccaneer,1958-12-01,Paramount Pictures
Desire Under the Elms,1958-03-12,Paramount Pictures
Cowboy,1958-01-07,Columbia Pictures
Tom Thumb,1958-12-03,Metro-Goldwyn-Mayer
Torpedo Run,1958-10-23,Metro-Goldwyn-Mayer
Ben-Hur,1959-11-18,Metro-Goldwyn-Mayer
Ben-Hur,1959-11-18,"Loew's, Inc."
Anatomy of a Murder,1959-07-02,Columbia Pictures
The Diary of Anne Frank,1959-03-18,20th Century-Fox
The Nun's Story,1959-06-18,Warner Bros.
Room at the Top,1959-01-22,Romulus Films
Room at the Top,1959-01-22,British Lion Films
Some Like It Hot,1959-03-29,Mirisch Company
Some Like It Hot,1959-03-29,United Artists
The Last Angry Man,1959-10-22,Columbia Pictures
Pillow Talk,1959-10-06,Arwin Productions
Pillow Talk,1959-10-06,Universal Pictures
"Suddenly, Last Summer",1959-12-20,Horizon Pictures
"Suddenly, Last Summer",1959-12-20,Columbia Pictures
The Young Philadelphians,1959-05-19,Warner Bros. Pictures
Imitation of Life,1959-03-17,Universal-International
The 400 Blows,1959-05-04,Cocinor
North by Northwest,1959-07-01,Metro-Goldwyn-Mayer
Operation Petticoat,1959-12-05,Universal International
Wild Strawberries,1957-12-26,AB Svensk Filmindustri
Black Orpheus,1959-06-12,Lopert Pictures
Die Br?cke,1959-10-22,Deutsche Film Hansa
Paw,1959-12-18,G. G. Communications
The Race for Space,1959-01-01,Universal Pictures
Donald in Mathmagic Land,1959-06-26,Walt Disney Productions
Donald in Mathmagic Land,1959-06-26,Buena Vista Film Distribution
From Generation to Generation,1959-01-01,Maternity Center Association
From Generation to Generation,1959-01-01,McGraw Hill
The Golden Fish,1959-10-02,Columbia Pictures
The Running Jumping & Standing Still Film,1959-11-01,British Lion Films
Skyscraper,1959-01-01,Joseph Burstyn Film Enterprises Inc.
Mexicali Shmoes,1959-07-04,Warner Bros. Cartoons
Mexicali Shmoes,1959-07-04,Warner Bros. Pictures
Mexicali Shmoes,1959-07-04,The Vitaphone Corporation
On the Beach,1959-12-17,United Artists
Porgy and Bess,1959-06-24,Samuel Goldwyn Productions
Porgy and Bess,1959-06-24,Columbia Pictures
The Five Pennies,1959-06-18,Paramount Pictures
Li'l Abner,1959-12-11,Paramount Pictures
Say One For Me,1959-06-19,Bing Crosby Productions
Say One For Me,1959-06-19,20th Century Fox
Sleeping Beauty,1959-01-29,Walt Disney Productions
Sleeping Beauty,1959-01-29,Buena Vista Film Distribution
A Hole in the Head,1959-06-17,United Artists
The Best of Everything,1959-10-09,20th Century-Fox
The Hanging Tree,1959-02-11,Warner Bros.
The Young Land,1959-05-01,Columbia Pictures
Journey to the Center of the Earth,1959-12-16,20th Century Fox
Libel,1959-10-23,Metro-Goldwyn-Mayer
Career,1959-10-07,Paramount Pictures
The Big Fisherman,1959-08-04,Buena Vista Film Distribution Company
The Gazebo,1959-12-16,Metro-Goldwyn-Mayer
The Apartment,1960-06-15,The Mirisch Company
The Apartment,1960-06-15,United Artists
The Alamo,1960-10-24,Batjac Productions
The Alamo,1960-10-24,United Artists
Elmer Gantry,1960-06-29,United Artists
Sons and Lovers,1960-05-14,20th Century Fox
The Sundowners,1960-12-08,Warner Bros.
Never on Sunday,1960-10-01,Lopert Pictures Corporation
Psycho,1960-06-16,Paramount Pictures
The Entertainer,1960-07-25,Woodfall Film Productions
The Entertainer,1960-07-25,Bryanston Films
Inherit the Wind,1960-06-25,United Artists
BUtterfield 8,1960-11-02,Metro-Goldwyn-Mayer
Sunrise at Campobello,1960-09-28,Warner Bros.
Spartacus,1960-10-06,Bryna Productions
Spartacus,1960-10-06,Universal International
"Murder, Inc.",1960-06-28,20th Century-Fox
Exodus,1960-12-15,United Artists
The Dark at the Top of the Stairs,1960-09-22,Warner Bros.
The Angry Silence,1960-03-15,British Lion Film Corporation
The Facts of Life,1960-11-14,United Artists
Hiroshima mon amour,1959-05-08,Daiei
Hiroshima mon amour,1959-05-08,Path? Overseas Productions
Hiroshima mon amour,1959-05-08,Cocinor
Tunes of Glory,1960-09-04,United Artists
Tunes of Glory,1960-09-04,Lopert Pictures
The Virgin Spring,1960-02-08,Janus Films
Kap?,1960-09-07,Cineriz
Kap?,1960-09-07,Vides Cinematografica
Kap?,1960-09-07,Francinex
Macario,1960-05-01,Estudios Churubusco
La V?rit?,1960-11-02,Columbia Pictures
The Horse with the Flying Tail,1960-12-21,Walt Disney Productions
The Horse with the Flying Tail,1960-12-21,Buena Vista Distribution Co.
Giuseppina,1960-01-01,British Petroleum
Beyond Silence,1960-01-01,United States Information Agency
Universe,1960-05-01,National Film Board of Canada
Munro,1960-09-01,Rembrandt Films
Munro,1960-09-01,Paramount Pictures
Goliath II,1960-01-21,Walt Disney Productions
Goliath II,1960-01-21,Buena Vista Distribution
High Note,1960-12-03,Warner Bros. Cartoons
High Note,1960-12-03,Warner Bros. Pictures
Mouse and Garden,1960-07-16,Warner Bros. Pictures
The Magnificent Seven,1960-10-12,The Mirisch Company
The Magnificent Seven,1960-10-12,United Artists
Song Without End,1960-08-11,Columbia Pictures
Bells Are Ringing,1960-06-23,An Arthur Freed Production
Bells Are Ringing,1960-06-23,Metro-Goldwyn-Mayer
Can-Can,1960-03-09,Twentieth Century-Fox
Let's Make Love,1960-09-08,Twentieth Century-Fox Film Corporation
Pepe,1960-12-20,Columbia Pictures
High Time,1960-09-16,20th Century Fox
Cimarron,1960-12-01,Metro-Goldwyn-Mayer
Visit to a Small Planet,1960-02-04,Paramount Pictures
It Started in Naples,1960-08-07,Paramount Pictures
The Rise and Fall of Legs Diamond,1960-02-03,United States Pictures
The Rise and Fall of Legs Diamond,1960-02-03,Warner Bros. Pictures
Seven Thieves,1960-03-12,Twentieth Century Fox Film Corporation
